Timestamp,How old are you (in years)?,Which gender do you most identify with?,"Prior to the COVID-19 pandemic, which of the following best matches the manner in which you would order and eat McDonald's food?",Why do you like eating at McDonald's?,Approximately how many meals have you eaten at McDonald's in the past month?,Approximately how many meals have you eaten at McDonald's in the past year?,"When you go to McDonald's for a lunchtime meal, which of the following menu items is your ""go-to"" order?","Which size of fries, if any, do you usually get with your McDonald's meal?","Which size of drink, if any, do you usually get with your McDonald's meal?",What type of drink do you usually get with your McDonald's meal?
9/30/2021 7:54:06,20,Male,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",0,2,Quarter Pounder With Cheese,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 8:08:41,18,Female,Ordering from the drive-thru.,"There are low prices at McDonald's., There is a McDonald's location near me.",0,0,McChicken,Small,Medium,Coca-Cola
9/30/2021 8:28:00,19,Male,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",1,10,Quarter Pounder With Cheese,Medium,Medium,Hot Coffee
9/30/2021 8:30:05,20,Male,Ordering inside and eating in-store.,"There are low prices at McDonald's., There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",0,10,Big Mac,Medium,Medium,Coca-Cola
9/30/2021 8:44:39,19,Female,Ordering inside and eating in-store.,It is quick and efficient to get food at McDonald's.,0,2,Jr. Chicken,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 8:51:16,20,Female,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,5,Poutine,Medium,Medium,Barq's Root Beer
9/30/2021 9:06:07,19,Prefer not to say,Ordering inside and eating in-store.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's., There is good customer service at McDonald's.",4,50,10 Chicken McNuggets and a McChicken,Large,Medium,Diet Coke or Coke Zero
9/30/2021 9:33:30,20,Male,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",0,10,Double Filet-O-Fish,Medium,Medium,Sprite
9/30/2021 9:41:27,20,Male,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",4,52,McChicken,Medium,Medium,NESTEA Iced Tea
9/30/2021 9:57:36,19,Male,Ordering inside and taking my meal to go.,It is quick and efficient to get food at McDonald's.,1,5,McChicken,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,NESTEA Iced Tea
9/30/2021 10:15:26,20,Non-binary,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",3,30,double cheese burger,Medium,Small,apple juice
9/30/2021 10:17:08,21,Female,Ordering inside and eating in-store.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable.",0,0,Double Cheeseburger,Small,Small,Sprite
9/30/2021 10:18:10,21,Female,Ordering inside and eating in-store.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",5,15,Filet-O-Fish,Medium,Medium,NESTEA Iced Tea
9/30/2021 10:22:38,20,Female,Ordering inside and taking my meal to go.,"The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,2,Just fries ,Small,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 10:27:38,56,Female,Ordering inside and eating in-store.,It is quick and efficient to get food at McDonald's.,2,20,Quarter Pounder With Cheese,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 10:37:12,60,Female,Ordering from the drive-thru.,The food at McDonald's is enjoyable.,0,5,Quarter Pounder With Cheese,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 10:42:30,28,Male,Ordering inside and eating in-store.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,20,Value meal (Mcdouble),Medium,Medium,Diet Coke or Coke Zero
9/30/2021 10:48:39,74,Male,Ordering from the drive-thru.,Love eggMcmuffins,2,15,McMuffins,I do not usually get French fries with my meal.,Medium,Hot Coffee
9/30/2021 10:52:14,68,Male,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,0,5,Quarter Pounder With Cheese,Small,Small,Diet Coke or Coke Zero
9/30/2021 10:52:23,20,Female,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",0,3,McChicken,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 11:00:57,51,Female,Ordering from the drive-thru.,Comfort food ,1,6,Big Mac,Small,Medium,Diet Coke or Coke Zero
9/30/2021 11:05:29,20,Female,Ordering inside and eating in-store.,It is quick and efficient to get food at McDonald's.,1,6,Big Mac,Medium,Medium,Sprite
9/30/2021 11:05:48,17,Male,Ordering inside and taking my meal to go.,"There is a McDonald's location near me., The food at McDonald's is enjoyable.",5,20,Double Big Mac,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 11:21:50,19,Female,Ordering from the drive-thru.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,20,McChicken,Medium,Medium,NESTEA Iced Tea
9/30/2021 11:29:06,19,Male,Ordering inside and eating in-store.,"There are low prices at McDonald's., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",2,4,Junior Chicken,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 11:31:20,20,Female,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's., There is good customer service at McDonald's.",2,10,Junior chicken,Small,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 11:34:11,37,Female,Ordering from the drive-thru.,"The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's., There is good customer service at McDonald's.",1,10,Big Mac,Medium,Medium,Fruitopia
9/30/2021 11:39:28,62,Female,Ordering from the drive-thru.,There is a McDonald's location near me.,1,4,I’m a vegetarian ,Medium,Small,Hot Coffee
9/30/2021 11:40:19,62,Male,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,3,30,Big Mac,Medium,Large,Diet Coke or Coke Zero
9/30/2021 11:45:21,20,Female,Ordering inside and taking my meal to go.,There is a McDonald's location near me.,1,10,Quarter Pounder With Cheese,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 11:49:44,19,Male,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",1,40,Quarter Pounder With Cheese,Large,Large,Sprite
9/30/2021 11:50:04,50,Female,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,3,10,10 Chicken McNuggets,Large,Medium,Diet Coke or Coke Zero
9/30/2021 11:57:45,64,Male,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,0,0,Mcdouble,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 12:02:32,63,Female,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,0,8,Quarter Pounder With Cheese,Small,Small,Hot Coffee
9/30/2021 12:03:19,34,Female,Ordering inside and taking my meal to go.,The food at McDonald's is enjoyable.,2,10,Quarter Pounder With Cheese,Medium,I do not usually get a drink with my meal.,Water
9/30/2021 12:03:29,20,Male,Ordering from the drive-thru.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",3,20,Quarter Pounder With Cheese,Large,Large,Milkshake
9/30/2021 12:03:44,56,Female,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,1,10,Quarter Pounder With Cheese,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 12:08:51,60,Female,Ordering from the drive-thru.,Usually get an ice cream. I rarely eat their food.,1,1,10 Chicken McNuggets,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 12:18:43,55,Female,Ordering from the drive-thru.,"There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",0,20,Big Mac,Large,I do not usually get a drink with my meal.,Hot Coffee
9/30/2021 12:19:43,59,Female,Ordering inside and eating in-store.,It is quick and efficient to get food at McDonald's.,0,2,Filet-O-Fish,Small,Medium,Diet Coke or Coke Zero
9/30/2021 12:21:12,58,Female,Ordering inside and eating in-store.,I love their fries and Angus Combo Meal!,4,15,The Angus Burger Combo Meal!,Medium,Medium,Sprite
9/30/2021 12:33:47,61,Female,Ordering inside and eating in-store.,Like the fries and occasional big mac.,0,2,Big Mac,Medium,Small,Coca-Cola
9/30/2021 12:42:47,21,Female,Ordering inside and taking my meal to go.,"There are low prices at McDonald's., There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",2,3,10 Chicken McNuggets,Medium,I do not usually get a drink with my meal.,Water
9/30/2021 12:44:09,35,Female,Ordering from the drive-thru.,The food at McDonald's is enjoyable.,5,20,Big Mac,Medium,Medium,Coca-Cola
9/30/2021 12:49:56,59,Male,Ordering from the drive-thru.,There is a McDonald's location near me.,410,10,McChicken,Small,Small,Sprite
9/30/2021 12:56:58,57,Male,Ordering inside and eating in-store.,"It is quick and efficient to get food at McDonald's., Like the Fillet",1,10,Filet-O-Fish,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 13:01:11,57,Female,Ordering inside and eating in-store.,"There are low prices at McDonald's., There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's., There is good customer service at McDonald's.",8,70,Big Mac,Large,Large,Diet Coke or Coke Zero
9/30/2021 13:08:33,50,Female,Ordering from the drive-thru.,I don't really,1,12,Big Mac,Medium,Medium,Coca-Cola
9/30/2021 13:17:54,22,Female,"Ordering via a delivery service (Uber Eats, DoorDash, etc.)","There are low prices at McDonald's., There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",2,20,10 Chicken McNuggets,Medium,I do not usually get a drink with my meal.,Chocolate milk
9/30/2021 13:20:41,47,Male,Ordering inside and eating in-store.,"There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,25,Egg McMuffin,Medium,Medium,Hot Coffee
9/30/2021 13:22:56,47,Female,Ordering from the drive-thru.,The food at McDonald's is enjoyable.,1,12,Big Mac,Medium,Medium,Coca-Cola
9/30/2021 13:27:34,43,Male,Ordering inside and eating in-store.,"The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",4,40,Big Mac,Large,Medium,Diet Coke or Coke Zero
9/30/2021 13:53:11,38,Female,Ordering inside and eating in-store.,There is a McDonald's location near me.,3,15,McChicken,Medium,Medium,Coca-Cola
9/30/2021 13:59:48,20,Male,Ordering inside and eating in-store.,"There are low prices at McDonald's., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",1,2,McChicken,Medium,Small,Sprite
9/30/2021 14:06:29,62,Female,Ordering from the drive-thru.,The food at McDonald's is enjoyable.,3,10,Big Mac,Small,Medium,Coca-Cola
9/30/2021 14:09:26,44,Female,Ordering from the drive-thru.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",5,100,Happy meal ,Small,Large,Diet Coke or Coke Zero
9/30/2021 14:12:20,42,Female,Ordering inside and eating in-store.,It’s a nice treat ,3,36,McChicken,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 14:26:47,20,Female,"Ordering via a delivery service (Uber Eats, DoorDash, etc.)","There are low prices at McDonald's., The food at McDonald's is enjoyable.",4,20,Vanilla cone,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
9/30/2021 14:43:33,75,Female,Ordering from the drive-thru.,"Don't eat there, just like their coffee",0,0,None,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,Hot Coffee
9/30/2021 14:44:59,57,Male,Ordering from the drive-thru.,"There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",2,20,Quarter Pounder BLT,Large,Large,Diet Coke or Coke Zero
9/30/2021 14:48:13,20,Female,Ordering inside and taking my meal to go.,"There is a McDonald's location near me., The food at McDonald's is enjoyable., It is quick and efficient to get food at McDonald's.",0,10,Oreo McFlurry with hot fudge and Fries,Large,I do not usually get a drink with my meal.,Water
9/30/2021 15:18:56,70,Female,Ordering from the drive-thru.,There is a McDonald's location near me.,2,4,Quarter Pounder With Cheese,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 15:21:01,70,Female,Ordering inside and taking my meal to go.,It is quick and efficient to get food at McDonald's.,2,4,Quarter Pounder With Cheese,Medium,Medium,Diet Coke or Coke Zero
9/30/2021 15:29:18,68,Female,Ordering inside and eating in-store.,It is quick and efficient to get food at McDonald's.,1,5,McChicken,Large,Medium,Hot Coffee
9/30/2021 16:10:36,20,Female,Ordering inside and taking my meal to go.,There is a McDonald's location near me.,2,6,10 Chicken McNuggets,Medium,Medium,Fruitopia
9/30/2021 16:21:59,41,Female,Ordering inside and eating in-store.,A treat for the kids,2,10,6 Chicken McNuggets,Medium,Medium,NESTEA Iced Tea
9/30/2021 16:29:54,21,Male,Ordering inside and taking my meal to go.,I don't like McDonald's but I'll eat it if it's there. ,1,2,10 Chicken McNuggets,Medium,Medium,NESTEA Iced Tea
9/30/2021 17:01:58,20,Female,Ordering inside and eating in-store.,It is quick and efficient to get food at McDonald's.,2,10,Quarter Pounder With Cheese,Medium,Medium,NESTEA Iced Tea
9/30/2021 17:15:07,20,Female,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,0,3,10 Chicken McNuggets,Medium,Medium,NESTEA Iced Tea
9/30/2021 17:23:24,54,Female,Ordering from the drive-thru.,There is a McDonald's location near me.,1,8,Quarter Pounder BLT,Medium,Medium,Hot Coffee
9/30/2021 17:29:11,22,Female,Ordering from the drive-thru.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",1,5,BTS meal :D ,Medium,Small,Sprite
9/30/2021 17:34:40,60,Female,Ordering from the drive-thru.,There is a McDonald's location near me.,2,10,Quarter Pounder With Cheese,Medium,Medium,Iced Coffee
9/30/2021 17:47:53,66,Female,Ordering from the drive-thru.,"There is a McDonald's location near me., It is quick and efficient to get food at McDonald's.",0,10,6 Chicken McNuggets,Medium,Medium,Coca-Cola
9/30/2021 18:16:24,37,Female,Ordering from the drive-thru.,The food at McDonald's is enjoyable.,3,35,Quarter Pounder With Cheese,Large,Large,Coca-Cola
9/30/2021 19:51:39,54,Female,Ordering from the drive-thru.,It is quick and efficient to get food at McDonald's.,2,20,Wrap,I do not usually get French fries with my meal.,I do not usually get a drink with my meal.,Hot Coffee
9/30/2021 21:11:59,20,Male,Ordering inside and eating in-store.,"There are low prices at McDonald's., It is quick and efficient to get food at McDonald's.",2,10,Big Mac,Medium,I do not usually get a drink with my meal.,I do not usually get a drink with my meal.
